cx	cy	capitalization	earnings	employees	x	y	sector	name	alias	symbol	vintage
406.4	14.3	34	3.5	34	407.9	-13.6	Chatbots	Active.ai		Other	2016
437.5	-43.9	20	0	20	427	-2.8	Computer Vision	AIIndra		Other	2012
107.7	-22.1	10	0	10	109.4	0	Marketing Tech	Artifacia		Angel	2015
176.3	50.9	18	0.75	18	180	0	Development	Arya.ai		Seed	2013
502.4	10.9	129	15	129	492.2	0.3	HR Tech	Belong.co		Other	2014
407.8	-17.1	15	0	15	401.4	4.7	Robotics	Bharati Robotics		Other	2013
201.5	30.2	5	0.225	5	201.4	0	E-Commerce / Retail	Corseco Technologies		Seed	2016
147.7	-24.9	5	0	5	157.9	13.4	Computer Vision	Corseco.in		Seed	2016
342.2	-68.4	19	0	19	336.2	5.4	Analytics	Cuddle.ai		NA	2015
704.6	3.9	10	0	10	689.7	6.1	Computer Vision	Cureskin		Other	2016
302.8	69	3	0.038	3	292.7	-5.4	HealthTech	Elth.ai		Seed	2016
189.9	66.7	52	4	52	197.7	-1.4	EdTech	Embibe		Other	2012
285	29.2	27	0	27	280	-9.7	Robotics	Emotix		Other	2014
491.3	29.2	21	0.44	21	487.1	0	Analytics	Frrole.ai		Other	2014
41.3	2.6	4	o	4	44.4	0	HR Tech	Glider.ai		Na	2016
276.2	-6.4	5	0	5	279.1	0.6	Robotics	Green Robot Machinery		Seed	2014
507	28.9	398	30	398	502.2	0	Robotics	Grey Orange		Other	2011
750.2	17.9	241	12.2	241	750.3	22.5	Chatbots	Haptik		Series B	2013
302.6	-37.4	13	1	13	302.5	0	Computer Vision	HyperVerge		Seed	2014
87.3	16.1	20	0	20	86.8	2.9	Speech/Language Technologies	Indiantts		NA	2015
142.9	11.4	12	0	12	153.5	-6.6	HealthTech	iNICU		NA	2016
184.2	52.8	19	6.1	19	188.9	-1.4	Development	Julia Computing		Seed	2015
146.3	-7.7	1	0	1	147.2	11.4	LegalTech	Lawbot.ai		NA	2016
431.4	-14.3	4	0.04	4	430	-10.8	Transport	LightMetrics		Seed	2015
199.1	35.6	13	0	13	200.3	0	Speech/Language Technologies	Liv.ai		NA	2015
201.4	13.6	44	2.75	44	209.4	0	Transport	Locus.sh		Series A	2015
535.5	7.4	45	1.5	45	536.3	0	E-Commerce / Retail	Mad Street Den		Series A	2013
280.9	75.1	21	6.7	21	279.2	11.8	Speech/Language Technologies	Mihup		Other	2016
23.8	-10.8	28	0	28	24.2	0.7	Marketing Tech	MintM		Seed	2012
224.8	-72.6	6	0	6	234.4	-21.4	Chatbots	Morph.ai		NA	2016
321	-54.1	47	16	47	315	-0.7	Transport	Netradyne		Series A	2015
151.8	-48.7	17	0	17	159.1	-10.9	Analytics	Newee Analytics		NA	2014
318.1	78.1	47	2.4	47	323.1	-5.7	Chatbots	Niki.ai		Series A	2015
490	3.7	12	0	12	482.8	1.9	Robotics	Omnipresent Robot Tech		Other	2010
316	16.3	27	1.4	27	310.6	7	Analytics	ParallelDots		Other	2014
351.9	-28.9	10	0	10	351.8	0.3	HealthTech	Predible Health		NA	2016
679	-17.4	2	0	2	690.3	6	Energy	Quenext		Other	2015
118.5	-22.5	14	0	14	116.1	0	HealthTech	Qure.ai		NA	2016
747.2	28.8	76	4	76	749.7	0.4	Speech/Language Technologies	Reverie Language Technologies	A.I.G.	Series A	2009
444	-9.4	23	0	23	433.8	-17.1	Robotics	Robosoft Systems		Other	2008
460.1	-4.1	19	0	19	455.8	-2.7	Robotics	Sastra Robotics		Other	2012
268.8	82.7	30	0	30	272.4	0	Chatbots	Senseforth.ai		NA	2012
740.3	-32	30	5.8	30	745.5	-0.4	HealthTech	Sigtuple		Series A	2015
69.8	12.2	6	0	6	72	0	HR Tech	Skillate		NA	2016
692.1	-14.2	63	0.3	63	690	-3.9	EdTech	SP Robotic Works		Angel	2012
185.6	39.8	3	0	3	182.2	8.5	Speech/Language Technologies	Spext.co		Other	2017
55.5	-4.4	20	0	20	61.2	0	E-Commerce / Retail	Staqu		Seed	2015
384.6	56.6	4	0	4	368.5	12.9	Computer Vision	Stomatobot		Other	2015
448.5	-37.1	10	0	10	446.4	0	E-Commerce / Retail	Thirdwatch		NA	2016
197.1	-57.9	1	2.1	1	210.1	-20.5	HealthTech	Tricog Health		Series A	2014
513.4	8	4	0	4	512.2	3.3	Analytics	Turing Analytics		NA	2015
247.2	-53.6	59	0	59	258	10	Speech/Language Technologies	Ubona		Other	2007
289.8	-23.5	126	8.8	126	301	4.5	Speech/Language Technologies	Uniphore		Series B	2008
134.7	20.8	6	0	6	148.6	3.8	Robotics	Vanora Robots		Other	2014
301.3	-70.9	12	1	12	305.5	8.1	EdTech	VideoKen		Seed	2016
546.2	2.8	32	0	32	547.6	0	Energy	Zenatix		Other	2014
